2026-04-10 10:43:36.840226: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-04-10 10:43:36.904857: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX512_FP16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-04-10 10:43:38.146664: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.

============================================================
Training PPO on Scenario C, seed=42, 3M steps, 60 ctrl steps
============================================================
  [Step 492000] Ep 8200: mean F = 0.9468, max F = 0.9941
  [Step 498000] Ep 8300: mean F = 0.9501, max F = 0.9937
  [Step 504000] Ep 8400: mean F = 0.9470, max F = 0.9926
  [Step 510000] Ep 8500: mean F = 0.9518, max F = 0.9916
  [Step 516000] Ep 8600: mean F = 0.9453, max F = 0.9919
  [Step 522000] Ep 8700: mean F = 0.9472, max F = 0.9921
  [Step 528000] Ep 8800: mean F = 0.9482, max F = 0.9917
  [Step 534000] Ep 8900: mean F = 0.9569, max F = 0.9928
  [Step 540000] Ep 9000: mean F = 0.9484, max F = 0.9920
  [Step 546000] Ep 9100: mean F = 0.9471, max F = 0.9927
  [Step 552000] Ep 9200: mean F = 0.9540, max F = 0.9939
  [Step 558000] Ep 9300: mean F = 0.9573, max F = 0.9942
  [Step 564000] Ep 9400: mean F = 0.9546, max F = 0.9936
  [Step 570000] Ep 9500: mean F = 0.9506, max F = 0.9947
  [Step 576000] Ep 9600: mean F = 0.9506, max F = 0.9943
  [Step 582000] Ep 9700: mean F = 0.9467, max F = 0.9937
  [Step 588000] Ep 9800: mean F = 0.9519, max F = 0.9937
  [Step 594000] Ep 9900: mean F = 0.9490, max F = 0.9931
  [Step 600000] Ep 10000: mean F = 0.9480, max F = 0.9928
  [Step 606000] Ep 10100: mean F = 0.9519, max F = 0.9933
  [Step 612000] Ep 10200: mean F = 0.9522, max F = 0.9943
  [Step 618000] Ep 10300: mean F = 0.9601, max F = 0.9924
  [Step 624000] Ep 10400: mean F = 0.9519, max F = 0.9931
  [Step 630000] Ep 10500: mean F = 0.9503, max F = 0.9924
  [Step 636000] Ep 10600: mean F = 0.9527, max F = 0.9948
  [Step 642000] Ep 10700: mean F = 0.9516, max F = 0.9947
  [Step 648000] Ep 10800: mean F = 0.9524, max F = 0.9937
  [Step 654000] Ep 10900: mean F = 0.9535, max F = 0.9933
  [Step 660000] Ep 11000: mean F = 0.9524, max F = 0.9924
  [Step 666000] Ep 11100: mean F = 0.9561, max F = 0.9934
  [Step 672000] Ep 11200: mean F = 0.9564, max F = 0.9944
  [Step 678000] Ep 11300: mean F = 0.9673, max F = 0.9943
  [Step 684000] Ep 11400: mean F = 0.9603, max F = 0.9941
